iter	Passed	Remaining
1019	1214847	2358234
1020	1216061	2357086
1021	1217366	2356116
1022	1218515	2354843
1023	1219722	2353684
1024	1220826	2352324
1025	1222072	2351238
1026	1223225	2349975
1027	1224454	2348856
1028	1225620	2347616
1029	1226789	2346384
1030	1227949	2345133
1031	1229145	2343952
1032	1230261	2342617
1033	1231401	2341329
1034	1232590	2340135
1035	1233826	2339029
1036	1235066	2337931
1037	1236250	2336728
1038	1237410	2335477
1039	1238555	2334201
1040	1239803	2333117
1041	1240947	2331837
1042	1242161	2330690
1043	1243393	2329576
1044	1244597	2328410
1045	1245730	2327111
1046	1246911	2325901
1047	1248074	2324657
1048	1249346	2323617
1049	1250476	2322313
1050	1251658	2321106
1051	1252884	2319980
1052	1254184	2318990
1053	1255390	2317828
1054	1256531	2316543
1055	1257713	2315336
1056	1258828	2314004
1057	1259948	2312685
1058	1261211	2311625
1059	1262399	2310429
1060	1263694	2309428
1061	1264847	2308167
1062	1265983	2306877
1063	1267053	2305465
1064	1268273	2304328
1065	1269440	2303093
1066	1270582	2301814
1067	1271712	2300513
1068	1272864	2299252
1069	1273986	2297938
1070	1275134	2296671
1071	1276332	2295494
1072	1277490	2294243
1073	1278679	2293051
1074	1279823	2291776
1075	1281012	2290583
1076	1282208	2289402
1077	1283427	2288262
1078	1284557	2286965
1079	1285766	2285807
1080	1286941	2284588
1081	1288060	2283271
1082	1289224	2282035
1083	1290347	2280724
1084	1291476	2279425
1085	1292674	2278250
1086	1293954	2277217
1087	1295102	2275951
1088	1296233	2274657
1089	1297374	2273381
1090	1298558	2272179
1091	1299718	2270936
1092	1300858	2269659
1093	1302049	2268470
1094	1303245	2267289
1095	1304427	2266085
1096	1305562	2264799
1097	1306687	2263496
1098	1307803	2262178
1099	1308968	2260946
1100	1310159	2259757
1101	1311431	2258708
1102	1312634	2257540
1103	1313865	2256422
1104	1315046	2255215
1105	1316222	2254001
1106	1317401	2252792
1107	1318543	2251519
1108	1319702	2250277
1109	1320912	2249120
1110	1322065	2247868
1111	1323332	2246808
1112	1324543	2245655
1113	1325668	2244354
1114	1326822	2243102
1115	1327956	2241819
1116	1329082	2240522
1117	1330275	2239336
1118	1331387	2238016
1119	1332572	2236817
1120	1333794	2235682
1121	1334963	2234458
1122	1336271	2233465
1123	1337443	2232245
1124	1338600	2231000
1125	1339732	2229714
1126	1340897	2228483
1127	1341997	2227144
1128	1343148	2225890
1129	1344315	2224664
1130	1345531	2223517
1131	1346744	2222366
1132	1347875	2221079
1133	1349022	2219820
1134	1350141	2218514
1135	1351269	2217223
1136	1352464	2216043
1137	1353833	2215147
1138	1354976	2213881
1139	1356203	2212753
1140	1357381	2211543
1141	1358472	2210193
1142	1359657	2208997
1143	1360888	2207874
1144	1362043	2206629
1145	1363202	2205390
1146	1364480	2204343
1147	1365594	2203032
1148	1366683	2201680
1149	1367931	2200585
1150	1369122	2199397
1151	1370331	2198240
1152	1371411	2196874
1153	1372568	2195633
1154	1373767	2194460
1155	1374921	2193214
1156	1376083	2191980
1157	1377307	2190846
1158	1378464	2189605
1159	1379606	2188341
1160	1380793	2187148
1161	1381944	2185898
1162	1383282	2184943
1163	1384556	2183888
1164	1385759	2182719
1165	1386939	2181514
1166	1388135	2180335
1167	1389336	2179165
1168	1390464	2177879
1169	1391561	2176545
1170	1392678	2175242
1171	1393984	2174234
1172	1395101	2172933
1173	1396216	2171628
1174	1397452	2170511
1175	1398689	2169396
1176	1399862	2168181
1177	1400988	2166893
1178	1402168	2165689
1179	1403429	2164612
1180	1404616	2163419
1181	1405748	2162141
1182	1406972	2161004
1183	1408085	2159697
1184	1409211	2158412
1185	1410362	2157164
1186	1411550	2155973
1187	1412754	2154807
1188	1413955	2153635
1189	1415135	2152433
1190	1416291	2151193
1191	1417483	2150008
1192	1418824	2149049
1193	1419997	2147835
1194	1421224	2146703
1195	1422349	2145416
1196	1423561	2144261
1197	1424716	2143020
1198	1425887	2141803
1199	1427040	2140560
1200	1428191	2139314
1201	1429351	2138081
1202	1430468	2136784
1203	1431664	2135606
1204	1432786	2134316
1205	1433923	2133050
1206	1435037	2131750
1207	1436167	2130472
1208	1437300	2129202
1209	1438390	2127867
1210	1439514	2126582
1211	1440730	2125434
1212	1441999	2124363
1213	1443166	2123143
1214	1444441	2122081
1215	1445609	2120861
1216	1446742	2119591
1217	1447865	2118305
1218	1448999	2117037
1219	1450233	2115914
1220	1451356	2114630
1221	1452586	2113501
1222	1453778	2112317
1223	1454908	2111044
1224	1456011	2109731
1225	1457215	2108564
1226	1458370	2107327
1227	1459630	2106242
1228	1460842	2105087
1229	1462025	2103889
1230	1463216	2102704
1231	1464323	2101399
1232	1465508	2100205
1233	1466681	2098995
1234	1467753	2097639
1235	1468849	2096318
1236	1469982	2095051
1237	1471149	2093832
1238	1472347	2092658
1239	1473724	2091738
1240	1474919	2090558
1241	1476079	2089330
1242	1477220	2088073
1243	1478337	2086785
1244	1479532	2085605
1245	1480735	2084437
1246	1481894	2083208
1247	1482987	2081886
1248	1484194	2080724
1249	1485377	2079528
1250	1486637	2078440
1251	1487792	2077205
1252	1489044	2076105
1253	1490263	2074960
1254	1491398	2073697
1255	1492635	2072576
1256	1493789	2071340
1257	1494912	2070061
1258	1496172	2068972
1259	1497368	2067794
1260	1498557	2066606
1261	1499688	2065340
1262	1500885	2064163
1263	1502119	2063038
1264	1503359	2061919
1265	1504594	2060795
1266	1505738	2059545
1267	1506874	2058285
1268	1507953	2056948
1269	1509118	2055728
1270	1510292	2054520
1271	1511418	2053248
1272	1512611	2052065
1273	1513816	2050901
1274	1514933	2049616
1275	1516056	2048339
1276	1517195	2047085
1277	1518319	2045811
1278	1519428	2044515
1279	1520597	2043302
1280	1521813	2042153
1281	1522953	2040899
1282	1524090	2039643
1283	1525310	2038498
1284	1526433	2037224
1285	1527631	2036050
1286	1528923	2035001
1287	1530105	2033805
1288	1531291	2032614
1289	1532520	2031480
1290	1533851	2030482
1291	1535115	2029393
1292	1536376	2028302
1293	1537499	2027027
1294	1538627	2025760
1295	1539772	2024515
1296	1540933	2023292
1297	1542114	2022094
1298	1543267	2020860
1299	1544484	2019710
1300	1545580	2018402
1301	1546730	2017164
1302	1547866	2015909
1303	1548979	2014624
1304	1550143	2013405
1305	1551358	2012251
1306	1552544	2011061
1307	1553770	2009923
1308	1554941	2008713
1309	1556009	2007370
1310	1557196	2006182
1311	1558335	2004932
1312	1559462	2003665
1313	1560610	2002427
1314	1561689	2001100
1315	1562823	1999843
1316	1564025	1998675
1317	1565183	1997450
1318	1566423	1996329
1319	1567624	1995158
1320	1568730	1993866
1321	1569869	1992617
1322	1571033	1991400
1323	1572233	1990228
1324	1573445	1989072
1325	1574607	1987852
1326	1575837	1986719
1327	1576962	1985452
1328	1578114	1984221
1329	1579278	1983003
1330	1580447	1981793
1331	1581588	1980547
1332	1582714	1979283
1333	1583887	1978078
1334	1585077	1976894
1335	1586239	1975675
1336	1587340	1974380
1337	1588473	1973125
1338	1589604	1971869
1339	1590789	1970679
1340	1591888	1969383
1341	1593132	1968266
1342	1594284	1967035
1343	1595500	1965884
1344	1596666	1964672
1345	1597817	1963439
1346	1598975	1962216
1347	1600062	1960907
1348	1601212	1959675
1349	1602341	1958417
1350	1603589	1957305
1351	1604690	1956013
1352	1605766	1954691
1353	1606929	1953475
1354	1608088	1952255
1355	1609262	1951052
1356	1610436	1949851
1357	1611559	1948586
1358	1612707	1947353
1359	1613863	1946129
1360	1615139	1945050
1361	1616252	1943774
1362	1617427	1942574
1363	1618543	1941302
1364	1619730	1940116
1365	1620876	1938881
1366	1622083	1937719
1367	1623344	1936621
1368	1624557	1935465
1369	1625804	1934351
1370	1627019	1933198
1371	1628117	1931906
1372	1629296	1930710
1373	1630487	1929529
1374	1631587	1928239
1375	1632775	1927054
1376	1634001	1925914
1377	1635127	1924656
1378	1636311	1923467
1379	1637431	1922202
1380	1638566	1920954
1381	1639644	1919641
1382	1640832	1918457
1383	1641962	1917205
